Name,DesignationName,LocationCode,AuthorizationProfileName,ExpenseProfileName,EmployeeCode,AccountNumber,ReportingToEmployeeCode,Email,Username,DateOfJoining,DateOfBirth,BaseSalary,BaseSalaryFromDate,BaseSalaryToDate,Gender,Role1,Role2,Role3,Role4,Role5,Role6,Role7,Role8,Role9,Role10
CM_IND_01,Country Manager,MH,Country Head,GENERAL,1,1122345,,CM_IND_01@cotecna.test,CM_IND_01@cotecna.test,01-04-2015,01-01-1970,50000,01-04-2019,31-12-2099,M,Employee,Manager,,,,,,,,
RM_AP_02,Location Manager,AP,Regional Manager,GENERAL,2,1122346,1,RM_AP_02@cotecna.test,RM_AP_02@cotecna.test,01-04-2015,01-01-1970,40000,01-04-2019,31-12-2099,M,Employee,Manager,Finance,,,,,,,
RM_AP_03,Location Manager,AP,Regional Manager,GENERAL,3,1122347,1,RM_AP_03@cotecna.test,RM_AP_03@cotecna.test,01-04-2015,01-01-1970,40000,01-04-2019,31-12-2099,M,Employee,Manager,,,,,,,,
MGR_AP_04,Business Manager,AP,Reporting Manager,GENERAL,4,1122348,2,MGR_AP_04@cotecna.test,MGR_AP_04@cotecna.test,01-04-2015,01-01-1970,30000,01-04-2019,31-12-2099,M,Employee,Manager,,,,,,,,
MGR_AP_05,Business Manager,AP,Reporting Manager,GENERAL,5,1122349,2,MGR_AP_05@cotecna.test,MGR_AP_05@cotecna.test,01-04-2015,01-01-1970,30000,01-04-2019,31-12-2099,F,Employee,Manager,,,,,,,,
MGR_AP_06,Business Manager,AP,Reporting Manager,GENERAL,6,1122350,3,MGR_AP_06@cotecna.test,MGR_AP_06@cotecna.test,01-04-2015,01-01-1970,30000,01-04-2019,31-12-2099,F,Employee,Manager,,,,,,,,
MGR_AP_07,Business Manager,AP,Reporting Manager,GENERAL,7,1122351,3,MGR_AP_07@cotecna.test,MGR_AP_07@cotecna.test,01-04-2015,01-01-1970,30000,01-04-2019,31-12-2099,F,Employee,Manager,,,,,,,,
Employee_AP_08,Member of Staff,AP,Employee,STAFF,8,1122352,2,EMPLOYEE_AP_08@cotecna.test,EMPLOYEE_AP_08@cotecna.test,01-04-2015,01-01-1970,20000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_AP_09,Member of Staff,AP,Employee,STAFF,9,1122353,2,EMPLOYEE_AP_09@cotecna.test,EMPLOYEE_AP_09@cotecna.test,01-04-2015,01-01-1970,20000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_AP_10,Member of Staff,AP,Employee,STAFF,10,1122354,2,EMPLOYEE_AP_10@cotecna.test,EMPLOYEE_AP_10@cotecna.test,01-04-2015,01-01-1970,20000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_AP_11,Member of Staff,AP,Employee,STAFF,11,1122355,4,EMPLOYEE_AP_11@cotecna.test,EMPLOYEE_AP_11@cotecna.test,01-04-2015,01-01-1970,20000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_AP_12,Member of Staff,AP,Employee,STAFF,12,1122356,4,EMPLOYEE_AP_12@cotecna.test,EMPLOYEE_AP_12@cotecna.test,01-04-2015,01-01-1970,20000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_AP_13,Member of Staff,AP,Employee,STAFF,13,1122357,5,EMPLOYEE_AP_13@cotecna.test,EMPLOYEE_AP_13@cotecna.test,01-04-2015,01-01-1970,15000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_AP_14,Member of Staff,AP,Employee,STAFF,14,1122358,5,EMPLOYEE_AP_14@cotecna.test,EMPLOYEE_AP_14@cotecna.test,01-04-2015,01-01-1970,15000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_AP_15,Member of Staff,AP,Employee,STAFF,15,1122359,5,EMPLOYEE_AP_15@cotecna.test,EMPLOYEE_AP_15@cotecna.test,01-04-2015,01-01-1970,15000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_AP_16,Member of Staff,AP,Employee,STAFF,16,1122360,2,EMPLOYEE_AP_16@cotecna.test,EMPLOYEE_AP_16@cotecna.test,01-04-2015,01-01-1970,15000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_AP_17,Inspector,AP,Employee,INSPECTOR,17,1122361,2,EMPLOYEE_AP_17@cotecna.test,EMPLOYEE_AP_17@cotecna.test,01-04-2015,01-01-1970,25000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_AP_18,Inspector,AP,Employee,INSPECTOR,18,1122362,2,EMPLOYEE_AP_18@cotecna.test,EMPLOYEE_AP_18@cotecna.test,01-04-2015,01-01-1970,25000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_AP_19,Inspector,AP,Employee,INSPECTOR,19,1122363,4,EMPLOYEE_AP_19@cotecna.test,EMPLOYEE_AP_19@cotecna.test,01-04-2015,01-01-1970,25000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_AP_20,Inspector,AP,Employee,INSPECTOR,20,1122364,4,EMPLOYEE_AP_20@cotecna.test,EMPLOYEE_AP_20@cotecna.test,01-04-2015,01-01-1970,25000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_AP_21,Inspector,AP,Employee,INSPECTOR,21,1122365,5,EMPLOYEE_AP_21@cotecna.test,EMPLOYEE_AP_21@cotecna.test,01-04-2015,01-01-1970,20000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_AP_22,Inspector,AP,Employee,INSPECTOR,22,1122366,5,EMPLOYEE_AP_22@cotecna.test,EMPLOYEE_AP_22@cotecna.test,01-04-2015,01-01-1970,20000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
COORD_AP_23,Location Co-ordinator,AP,Employee,STAFF,23,1122367,3,COORD_AP_23@cotecna.test,COORD_AP_23@cotecna.test,01-04-2015,01-01-1970,20000,01-04-2019,31-12-2099,F,Employee,Timesheet Coordinator,Location Coordinator,,,,,,,
HR_AP_24,HR Manager,AP,Employee,GENERAL,24,1122368,1,HR_AP_24@cotecna.test,HR_AP_24@cotecna.test,01-04-2015,01-01-1970,20000,01-04-2019,31-12-2099,F,Employee,Human Resources,,,,,,,,
RM_DL_02,Location Manager,DL,Regional Manager,GENERAL,25,1122369,1,RM_DL_02@cotecna.test,RM_DL_02@cotecna.test,01-04-2015,01-01-1970,40000,01-04-2019,31-12-2099,F,Employee,Manager,Finance,,,,,,,
RM_DL_03,Location Manager,DL,Regional Manager,GENERAL,26,1122370,1,RM_DL_03@cotecna.test,RM_DL_03@cotecna.test,02-04-2015,01-02-1970,40000,01-04-2019,31-12-2099,F,Employee,Manager,,,,,,,,
MGR_DL_04,Business Manager,DL,Reporting Manager,GENERAL,27,1122371,25,MGR_DL_04@cotecna.test,MGR_DL_04@cotecna.test,03-04-2015,01-03-1970,30000,01-04-2019,31-12-2099,F,Employee,Manager,,,,,,,,
MGR_DL_05,Business Manager,DL,Reporting Manager,GENERAL,28,1122372,25,MGR_DL_05@cotecna.test,MGR_DL_05@cotecna.test,04-04-2015,01-04-1970,30000,01-04-2019,31-12-2099,F,Employee,Manager,,,,,,,,
MGR_DL_06,Business Manager,DL,Reporting Manager,GENERAL,29,1122373,26,MGR_DL_06@cotecna.test,MGR_DL_06@cotecna.test,05-04-2015,01-05-1970,30000,01-04-2019,31-12-2099,F,Employee,Manager,,,,,,,,
MGR_DL_07,Business Manager,DL,Reporting Manager,GENERAL,30,1122374,26,MGR_DL_07@cotecna.test,MGR_DL_07@cotecna.test,06-04-2015,01-06-1970,30000,01-04-2019,31-12-2099,F,Employee,Manager,,,,,,,,
Employee_DL_08,Member of Staff,DL,Employee,STAFF,31,1122375,25,EMPLOYEE_DL_08@cotecna.test,EMPLOYEE_DL_08@cotecna.test,07-04-2015,01-07-1970,20000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
Employee_DL_09,Member of Staff,DL,Employee,STAFF,32,1122376,25,EMPLOYEE_DL_09@cotecna.test,EMPLOYEE_DL_09@cotecna.test,08-04-2015,01-08-1970,20000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
Employee_DL_10,Member of Staff,DL,Employee,STAFF,33,1122377,25,EMPLOYEE_DL_10@cotecna.test,EMPLOYEE_DL_10@cotecna.test,09-04-2015,01-09-1970,20000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
Employee_DL_11,Member of Staff,DL,Employee,STAFF,34,1122378,25,EMPLOYEE_DL_11@cotecna.test,EMPLOYEE_DL_11@cotecna.test,10-04-2015,01-10-1970,20000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
Employee_DL_12,Member of Staff,DL,Employee,STAFF,35,1122379,26,EMPLOYEE_DL_12@cotecna.test,EMPLOYEE_DL_12@cotecna.test,11-04-2015,01-11-1970,20000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_DL_13,Member of Staff,DL,Employee,STAFF,36,1122380,26,EMPLOYEE_DL_13@cotecna.test,EMPLOYEE_DL_13@cotecna.test,12-04-2015,01-12-1970,15000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
Employee_DL_14,Member of Staff,DL,Employee,STAFF,37,1122381,26,EMPLOYEE_DL_14@cotecna.test,EMPLOYEE_DL_14@cotecna.test,13-04-2015,01-01-1971,15000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
Employee_DL_15,Member of Staff,DL,Employee,STAFF,38,1122382,26,EMPLOYEE_DL_15@cotecna.test,EMPLOYEE_DL_15@cotecna.test,14-04-2015,01-02-1971,15000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
Employee_DL_16,Member of Staff,DL,Employee,STAFF,39,1122383,26,EMPLOYEE_DL_16@cotecna.test,EMPLOYEE_DL_16@cotecna.test,15-04-2015,01-03-1971,15000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
Employee_DL_17,Inspector,DL,Employee,INSPECTOR,40,1122384,27,EMPLOYEE_DL_17@cotecna.test,EMPLOYEE_DL_17@cotecna.test,16-04-2015,01-04-1971,25000,01-04-2019,31-12-2099,F,Employee,,,,,,,,,
Employee_DL_18,Inspector,DL,Employee,INSPECTOR,41,1122385,27,EMPLOYEE_DL_18@cotecna.test,EMPLOYEE_DL_18@cotecna.test,17-04-2015,01-05-1971,25000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
Employee_DL_19,Inspector,DL,Employee,INSPECTOR,42,1122386,27,EMPLOYEE_DL_19@cotecna.test,EMPLOYEE_DL_19@cotecna.test,18-04-2015,01-06-1971,25000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
Employee_DL_20,Inspector,DL,Employee,INSPECTOR,43,1122387,28,EMPLOYEE_DL_20@cotecna.test,EMPLOYEE_DL_20@cotecna.test,19-04-2015,01-07-1971,25000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
Employee_DL_21,Inspector,DL,Employee,INSPECTOR,44,1122388,28,EMPLOYEE_DL_21@cotecna.test,EMPLOYEE_DL_21@cotecna.test,20-04-2015,01-08-1971,20000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
Employee_DL_22,Inspector,DL,Employee,INSPECTOR,45,1122389,28,EMPLOYEE_DL_22@cotecna.test,EMPLOYEE_DL_22@cotecna.test,21-04-2015,01-09-1971,20000,01-04-2019,31-12-2099,M,Employee,,,,,,,,,
COORD_DL_23,Location Co-ordinator,DL,Employee,STAFF,46,1122390,30,COORD_DL_23@cotecna.test,COORD_DL_23@cotecna.test,22-04-2015,01-10-1971,20000,01-04-2019,31-12-2099,F,Employee,Timesheet Coordinator,,,,,,,,
